time	open	high	low	close	volume	volumeUSD	weightedPrice
2017-10-02	4386.66	4454.16	4359.41	4388.18	1578.99	6942118.78	4396.56
2017-10-03	4388.61	4421.7	4231.04	4310.81	2206.71	9500379.78	4305.22
2017-10-04	4310.8	4340	4175.74	4216.12	1370.58	5833284.03	4256.07
2017-10-05	4216.12	4358.96	4143.68	4312	1329.62	5700304.04	4287.17
2017-10-06	4312	4417.11	4290	4364.22	1284.48	5614433.18	4370.97
2017-10-07	4364.13	4460	4316.15	4425.01	1467.05	6420183.96	4376.25
2017-10-08	4424.8	4596.79	4415.43	4589.94	1198.38	5362342.2	4474.65
2017-10-09	4589.94	4861	4541.03	4744.46	1054.69	4927509.56	4672
2017-10-10	4743.46	4892	4707.44	4749.19	2245.89	10802462.78	4809.88
2017-10-11	4747.15	4867.6	4713.06	4815	1517.92	7283268.6	4798.18
2017-10-12	4815	5438.31	4808.16	5438.31	3649.34	18598879.14	5096.5
2017-10-13	5437.04	5870	5387.52	5646.37	2820.34	15974653.52	5664.09
2017-10-14	5658.26	5792.23	5565	5788.14	953.05	5452973.53	5721.61
2017-10-15	5786.33	5828.13	5427.82	5705	1323.03	7473560.05	5648.82
2017-10-16	5711.47	5775.95	5576.75	5745.64	989.95	5642820.21	5700.12
2017-10-17	5753.44	5764.51	5523	5597	666.29	3741377.48	5615.25
2017-10-18	5594.12	5599.6	5105.85	5572.36	2280	12222054.01	5360.55
2017-10-19	5570.91	5733.5	5522.73	5721.64	563.42	3183200.87	5649.8
2017-10-20	5705.44	6047.12	5613.05	5981.93	2576.5	15159312.2	5883.68
2017-10-21	5981.47	6182.99	5878.82	6013.59	2351.41	14261374.1	6065.03
2017-10-22	6025.75	6070.75	5733.01	5989.93	1826.69	10749739.96	5884.81
2017-10-23	5985.47	6056.05	5646.6	5903.66	2697.37	15785275.17	5852.09
2017-10-24	5882.6	5882.6	5461.99	5521.33	2556.42	14392694.8	5630.01
2017-10-25	5517.16	5750.25	5360	5736.57	3164.88	17450641.1	5513.85
2017-10-26	5738.04	5979.21	5694.14	5889.23	2029.76	11903898.5	5864.69
2017-10-27	5885.4	5991.89	5689.61	5764.27	2331.98	13534634.28	5803.92
2017-10-28	5777.87	5875.95	5655.01	5730.76	1492.02	8545060.22	5727.18
2017-10-29	5732.61	6310.09	5692.69	6137.83	3023.5	18292475.61	6050.09
2017-10-30	6135.93	6215	6026.77	6124.83	1977.98	12118309.57	6126.59
2017-10-31	6131.28	6463.71	6085.91	6448.65	1399.98	8797736.74	6284.18
2017-11-01	6446.3	6749.99	6355	6740	1784.57	11689408.41	6550.28
2017-11-02	6740	7343.5	6737.68	7032.65	6855.29	47814999.17	6974.9
2017-11-03	7032.66	7466.87	6940.55	7161.52	3578.72	26008699.37	7267.6
2017-11-04	7156.52	7506.89	7000	7392.76	1328.46	9681044.6	7287.44
2017-11-05	7399.23	7602.81	7298.67	7383.3	1397.24	10424179.61	7460.57
2017-11-06	7379.52	7427	6925.2	6958.54	5102.15	36528225.02	7159.37
2017-11-07	6958.54	7229	6958.45	7123.55	3361.75	23862954.5	7098.36
2017-11-08	7123.06	7870	7077.24	7477.05	5350.87	39770702.72	7432.57
2017-11-09	7465.88	7504.56	7054.21	7151.29	2222.31	15999399.54	7199.46
2017-11-10	7151.56	7344.6	6420.5	6571.91	7058.34	48531900.97	6875.83
2017-11-11	6571.91	6826.42	6200	6351.07	3206.65	20646979.64	6438.79
2017-11-12	6341.85	6452.86	5493	5856.39	4868.51	29257552.4	6009.54
2017-11-13	5839.74	6797.05	5809.17	6523.86	3480.33	22079746.33	6344.15
2017-11-14	6525.03	6742.29	6484.85	6604.17	1897.85	12492344.39	6582.38
2017-11-15	6602.42	7345.31	6602.42	7292.56	3612.01	25335802.38	7014.32
2017-11-16	7292.97	7982.79	7122.2	7841.77	3688.43	27881437.94	7559.15
2017-11-17	7838.65	8000	7519.55	7690.38	2764.95	21602007.06	7812.8
2017-11-18	7680.72	7838.95	7457.21	7780	1372.32	10579276.82	7709.02
2017-11-19	7780	8100.28	7678.3	8041.09	1591.63	12616508.76	7926.78
2017-11-20	8038.8	8281	7950	8231.93	2137.51	17437575.42	8157.91
2017-11-21	8240.05	8356.99	7795.5	8098.31	2901.11	23538435.43	8113.61
2017-11-22	8090.36	8289.12	8063.17	8234.2	2050.95	16751948.68	8167.9
2017-11-23	8234.81	8270.98	8010	8010	1304.07	10645113.01	8163
2017-11-24	8010	8335.27	7879.68	8205.25	1622.57	13261182.8	8172.93
2017-11-25	8205.43	8793.49	8166.52	8785	2315.46	19867490.3	8580.37
2017-11-26	8793	9518.67	8752.34	9334.25	2461.77	22611187.74	9184.92
2017-11-27	9341.27	9764.84	9336.08	9755	3176.64	30473251.25	9592.93
2017-11-28	9762.99	9978.85	9648.6	9936.23	2439.92	24001202.56	9836.88
2017-11-29	9937	11250	8980.72	9820.04	7288.36	75836708.61	10405.18
2017-11-30	9831.92	10800	8897.06	9090.91	1856.78	18154981.01	9777.69